uoa,filter1,filter2,MET065,MET066,MET067,MET080,MET081,MET070,MET049,MET050,MET053,MET054,MET073,MET074,MET056,MET057,MET058,MET060,MET061,MET062,MET064,MET075,MET076,MET078,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET042,MET043,MET045,MET033,MET082,MET083,MET084,MET085,MET086,MET087,MET088,MET116,MET118,MET119,MET120,MET121,MET122,MET123,MET125,MET124,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET092,MET094,MET096,MET099,MET100,MET101,MET137,MET127,MET128,MET129,MET130,MET132,MET135,MET133,MET136,MET134,MET160,MET161,MET162,MET163,MET165,MET166,MET156,MET158,MET159,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET138,MET139,MET140,MET141,MET187,MET188,MET189,MET190,MET191,MET192,MET193,MET194,MET195,MET204,MET205,MET206,MET196,MET197,MET198,MET199,MET200,MET201,MET202,MET167,MET168,MET169,MET170,MET171,MET173,MET174,MET175,MET176,MET177,MET178,MET180,MET182,MET183,MET184,MET185,MET186,MET028,MET029,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET012,MET013,MET014,MET015,MET016,MET017,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET001,MET002,MET217,MET218,MET219,MET220,MET214,MET215,MET216,MET207,MET208,MET209,MET210,MET212,MET211,MET213
uoa01,South,Hosts,0.23,0.04,0.13,,,,,,,,,,0.85,0.11,9.25,,,,0.55,,,,5,,0.82,0.08,0.54,,,,,,0.58,0.7,,,,,,0.2,0.14,,,,1,,,,,0.04,2.4,,,0.86,,,0.32,0.96,0.9,,,,,5.68,59,58,0.6,,,0.24,7.06,,19.8,,-3.11,,0,,,0.06,0.81,,,0.39,0.49,,,,0.32,,1.06,,,5.19,0.48,0.59,,,,0.24,0.42,,0.9,,,,0.27,0.5,,,,,,,,0.56,,0.35,6.13,,4.61,0.64,,2.05,,,6.76,,,,,,,0,0.54,2,,7.52,2.83,,15,4.72,1,,,,,2.06,4.49,7.8,,,0.69,0.9,,0.65,,,-2.79,,,,0.84,3.54,,0.81,0.68,0.36,,0.74,0.28,,,,,0.58,,
uoa02,North,IDPs,0.81,0.39,,,,,0.6,250,,,,,0.17,,,,0.23,,,,,,,,0.67,,0.57,,,,,,0.77,0.5,0.25,0.43,,,0.78,,0.24,7.23,,1,1,,,,,,3.2,0.37,,0.24,,,,0.85,0.31,0.9,,,,,24,,0.88,0.69,0.73,0.27,,0.5,,0.25,,0.39,,,,0.71,0.08,0.65,,0.39,,,,0.91,,,,,,,0.22,,,1,,,,0.76,,,0.16,0.51,0.23,0.06,,,,,0.47,0.82,0.54,,0.59,0.52,3.8,7.95,6.18,,,,0.4,,1.81,2.47,,0.14,,,,0,0.8,2.88,,,2.35,,74,5.91,0,,,,,5.18,,0.4,,,,0.39,,0.78,8.9,-0.22,8.12,,,,,5.27,0.09,0.86,,0.89,0,0.42,0.2,,0.98,0.59,0.08,,0.87,
uoa03,West,IDPs,0.07,0.77,0.18,,,,0.56,171,0.85,0.96,,,,,,3.58,0.55,,,,,,2,0.58,,,0.1,0.84,,,,,0.34,,,,,,,0.45,0.38,-2.32,,,1,,,,,0.55,,0.51,0.62,0.5,0.23,,0.97,0.68,,,,,,4.85,376,121,0.9,0.64,0.72,0.69,,6.78,21.4,0.14,,,1,,0.34,,,,0.86,,,,,,0.54,1.77,7.55,,,6.23,,0.64,,,,,0.53,0.24,,,0.85,,,0.49,,,,0.77,0.18,,0.27,0.53,,,2.68,3.67,4.02,,,3.6,0.73,0.72,2.75,3.39,,,,0.05,0.73,1,0.32,3.29,0.2,,2.46,,,6.48,,,,,,,,,,0.55,0.52,0.51,0.38,,1.84,,4.45,,,,2.63,4.48,,,,,1,0.31,,,0.51,,0.79,0.82,0.58,
uoa04,West,IDPs,0.21,0.38,,,,,0.96,81,,0.83,,,0.18,,,,,,0.34,,,,,0.23,,0.72,0.82,0.6,0.71,,,0.74,0.76,0.74,0.7,0.45,,,0.14,,0.24,,,,,,,,,0.26,,0.95,,0.25,,,,0.41,0.97,,,,,,396,145,0.39,0.65,0.5,,2.57,1.14,20.1,,7.02,0.7,0,0.13,,0.5,0.93,0.03,0.37,,0.98,,0.86,,0.3,-3.87,,,,7.28,0.63,0.86,,1,,,0.95,0.05,,0.73,0.15,0.22,,0.23,,,,0.72,0.5,,0.96,,,,4.4,3.9,4.78,0.41,0.3,,,,0.98,,,0.43,,0.48,,1,,0.39,0.41,4.03,7.56,,,4.67,,,,,,3.17,4.14,,,0.63,0.06,,0.6,0.57,,,,,,,0.82,,,0.95,,,,0.61,0.41,0.42,0.39,0.46,,,,
uoa05,Centre,Hosts,0.66,0.6,0.42,,,,0.3,31,0.32,,,,,0.68,-0.9,,,,,,,,3,0.89,0.26,0.84,0.24,,,,,0.03,0.36,0.68,0.27,,,,,,0.45,,6.54,0,,,,,,0.49,2.1,0.53,0.88,,,,0.91,,0.54,,,,,7.99,252,376,,0.83,0.63,0.2,6.19,,13.5,,,0.54,,,,,0.33,0.17,0.13,0.64,0.69,,,0.5,0.41,-3.83,,,,,,0.23,9.66,,,0.03,0.64,,,,,0.71,,0.44,,,,0.21,0.13,,0.94,0.13,,,,3.63,,,,6.35,0.96,,4.27,,0.68,0.84,0.46,0.56,,1,,,,5.64,7.12,,,0.93,1,,,,,2.95,6.53,3.5,,,0.9,,0.75,,1.56,4.32,,,,,6.89,4.34,,,,,,0.75,0.46,,0.66,0.91,,,,0.76
uoa06,South,Hosts,0.79,,0.04,,,,0.28,172,,0.3,,,0.79,,-3.96,,,,,,,,2,,0.42,0.08,0.73,0.98,,,,,,0.36,0.69,0.68,,,,,0.5,8.46,-4.78,,,,,,,0.2,,0.24,0.77,,,,0.44,0.14,0.85,,,,,4.94,491,265,,0.2,,,2.18,6.03,18.1,,-2.11,,,,,0.71,0.92,,,0.4,,,0.07,0.15,0.27,5.91,4.74,,,,0.94,0.73,-3.13,,,0.62,0.35,0.17,0.78,0.82,,0.43,0.9,0.69,,,,,,0.45,0.15,,,0.82,7.12,,3.04,0.05,,3.71,0.96,0.78,,,0.16,,0.48,0.94,,1,0.09,,0.94,,6.81,,268,,,,,,,3.61,,,0.16,0.53,,0.36,0.78,0.79,,,5.85,,,,2.28,,0.93,,,,,0.28,0.85,0.85,,,,0.71,,0.51
uoa07,North,IDPs,0.44,,0.3,,,,0.36,187,0.48,,,,,0.09,,,0.44,,,,,,3,0.93,0.63,,0.41,0.63,0.29,,,,0.35,0.32,0.37,0.1,,,,,0.43,,,,,,,,,0.9,5.3,0.32,0.9,0.3,,,0.59,,,,,,,2.31,,284,0.29,,,,,,,,,,1,0.96,,,0.38,0.82,,,0.11,,0.79,0.86,0.72,,6.14,,,4.28,0.73,0.78,,,,0.28,0.24,0.7,,,,0.46,,0.93,,,,,0.84,,0.04,,0.68,,,7.93,5.49,,0.14,5.59,0.65,0.77,2.96,1.25,,0.11,,0.41,,0,0.7,1.56,0.04,,5.56,,350,4.69,1,,,,,6.11,6.51,,0.43,,0.48,,0.47,,-1.52,9.92,2.86,,,,2.85,7.78,0.64,0.4,,0.8,0,0.67,,0.84,0.17,0.08,0.57,,,
uoa08,Centre,Hosts,0.07,0.76,,,,,,,,,,,0.95,0.74,,6.51,,,,,,,5,0.67,0.98,0.09,,0.68,,,,,,0.46,,0.49,,,,,,,9.73,,0,,,,,0.93,1.4,0.49,0.77,,,,0.38,,,0.31,,,,,205,,,,,,1.45,1.95,12.9,,2.68,,1,,0.84,0.12,,0.26,0.4,,,,0.62,,0.33,-2.97,,,,5.45,0.92,,,,,0.52,0.24,0.66,,,,,0.19,0.07,,,,,0.56,0.34,0.62,0.6,0.4,0.68,3.84,6.9,,,,2.85,,,,7.88,0.78,,0.47,,,1,0.19,6.82,0.42,2.62,,1,41,0.69,1,,,,,2.13,1.65,0.27,,0.98,0.7,0.54,0.66,0.58,,-0.58,,,,,6.67,,0.86,,,0.33,,,0.63,0.85,0.19,0.5,,0.42,,
uoa09,South,Refugees,0.07,0.36,0.79,,,,,70,,,,,0.37,0.68,-3.16,,,,,,,,,0.24,,,0.83,,,,,0.09,,0.13,,0.09,,,,0.88,0.85,,6.66,,,,,,,0.44,6.1,,,0.14,0.67,,0.8,,0.48,0.87,,,,5.65,272,61,0.82,,,0.11,,2.44,16.4,0.53,,,0,0.87,,,0.92,,0.15,,,,,,0.45,8.48,-2.68,,,0.39,0.94,,,1,,0.48,0.85,0.06,0.55,,0.62,,0.64,0.23,,,,0.08,,0.17,0.71,0.74,0.18,,7.35,,,0.34,,3.16,0.91,,,7.87,0.06,0.23,,0.36,,0,,5.52,,,,,,6.63,,,,,,4.85,,1.04,,,0.68,,0.41,0.1,7.22,,9.6,,,,,1.38,0.61,0.31,,0.14,,0.4,0.39,,0.24,,,0.85,,
uoa10,North,Hosts,,,,,,,,460,,0.39,,,,0.41,4.49,6,,0.98,,,,,,0.49,0.28,0.77,0.92,0.52,,,,0.19,0.27,0.42,0.06,0.58,,,,0.15,0.06,,,,,,,,,,,0.55,,0.47,,,,0.45,0.12,,,,,0.84,371,241,,,,,2.48,4.3,17.9,0.6,-4.77,,,,,,0.97,0.1,0.04,,,,,,0.06,-2.61,1.96,,,7.86,0.41,0.64,,,,0.26,0.15,,,,,0.07,,0.31,,,,0.87,0.63,0.71,0.63,,,,,2,5.06,0.79,,3.65,0.39,,,,,0.62,,0.21,,1,,1.78,,,,,169,7.97,,,,,,,,5.77,0.71,0.05,0.92,0.27,0.89,0.56,6.96,5.99,8.92,,,,,2.3,0.78,0.93,,0.69,,0.48,,0.22,0.91,,,0.6,,
uoa11,South,Refugees,0.25,,0.6,,,,0.49,,0.84,,,,0.27,0.85,6.63,,,,0.2,,,,,0.3,0.92,,0.2,0.6,,,,0.61,,,,0.07,,,,,,4.64,-4.02,,0,,,,,0.86,6.8,0.85,0.46,,0.75,,0.82,0.22,,,,,,1.84,302,,0.62,,0.35,,5.3,4.38,22,0.97,,,0,0.17,,,0.79,,,0.42,,,0.24,0.07,,-0.76,,,,4.32,0.1,0.2,,0,,,0.69,,0.17,0.58,,,0.39,0.29,,,,,,0.42,0.25,0.43,0.8,,7.89,,5.57,,,1.17,,,5.47,1.62,,0.47,,,,,0.24,6.28,,1.61,6.41,1,487,3.63,0,,,,,6.56,5.63,,,,,0.82,,0.04,-1.38,5.52,,,,,,,,0.56,,0.42,,0.38,0.19,0.11,0.35,0.41,,0.66,0.62,0.25
